Wed, 2026/04/15 - 10:00  | php   | Notice: Undefined variable $foo in /var/www/html/web/modules/custom/a/a.module on line 10
Wed, 2026/04/15 - 10:04  | php   | Notice: Undefined variable $foo in /var/www/html/web/modules/custom/a/a.module on line 10
Wed, 2026/04/15 - 10:04  | php   | Notice: Undefined variable $foo in /var/www/html/web/modules/custom/a/a.module on line 10
Wed, 2026/04/15 - 10:05  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:05  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:06  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:06  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:07  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:07  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:08  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:08  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:09  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:09  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:10  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:11  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:12  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:13  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:14  | php   | Warning: Division by zero in /var/www/html/web/modules/custom/b/b.module on line 42
Wed, 2026/04/15 - 10:15  | php   | Fatal error: Uncaught Error: Call to undefined function c_helper() in /var/www/html/web/modules/custom/c/c.module:88
Wed, 2026/04/15 - 10:16  | php   | Fatal error: Uncaught Error: Call to undefined function c_helper() in /var/www/html/web/modules/custom/c/c.module:88
Wed, 2026/04/15 - 10:17  | php   | Fatal error: Uncaught Error: Call to undefined function c_helper() in /var/www/html/web/modules/custom/c/c.module:88
Wed, 2026/04/15 - 10:18  | php   | Fatal error: Uncaught Error: Call to undefined function c_helper() in /var/www/html/web/modules/custom/c/c.module:88
Wed, 2026/04/15 - 10:19  | php   | Fatal error: Uncaught Error: Call to undefined function c_helper() in /var/www/html/web/modules/custom/c/c.module:88
Wed, 2026/04/15 - 10:20  | php   | Fatal error: Uncaught Error: Call to undefined function c_helper() in /var/www/html/web/modules/custom/c/c.module:88
Wed, 2026/04/15 - 10:21  | php   | Fatal error: Uncaught Error: Call to undefined function c_helper() in /var/www/html/web/modules/custom/c/c.module:88
Wed, 2026/04/15 - 10:22  | php   | Fatal error: Uncaught Error: Call to undefined function c_helper() in /var/www/html/web/modules/custom/c/c.module:88
Wed, 2026/04/15 - 10:23  | php   | Fatal error: Uncaught Error: Call to undefined function c_helper() in /var/www/html/web/modules/custom/c/c.module:88
Wed, 2026/04/15 - 10:24  | php   | Fatal error: Uncaught Error: Call to undefined function c_helper() in /var/www/html/web/modules/custom/c/c.module:88
